# landmark_tcn training start  epochs=80 batch=64
[landmark_tcn] epoch 075/200  train_loss=0.6568 train_acc=0.776  val_loss=2.9465 val_acc=0.439
[landmark_tcn] epoch 076/200  train_loss=0.6209 train_acc=0.802  val_loss=3.1065 val_acc=0.486
[landmark_tcn] epoch 077/200  train_loss=0.6133 train_acc=0.786  val_loss=3.2137 val_acc=0.458
[landmark_tcn] epoch 078/200  train_loss=0.5589 train_acc=0.807  val_loss=3.2016 val_acc=0.467
[landmark_tcn] epoch 079/200  train_loss=0.6281 train_acc=0.772  val_loss=3.0970 val_acc=0.495
[landmark_tcn] epoch 080/200  train_loss=0.5490 train_acc=0.818  val_loss=2.9929 val_acc=0.458
[landmark_tcn] epoch 081/200  train_loss=0.5400 train_acc=0.832  val_loss=3.2128 val_acc=0.477
[landmark_tcn] epoch 082/200  train_loss=0.5085 train_acc=0.848  val_loss=3.0961 val_acc=0.551
[landmark_tcn] epoch 083/200  train_loss=0.4999 train_acc=0.844  val_loss=3.1549 val_acc=0.477
[landmark_tcn] epoch 084/200  train_loss=0.4977 train_acc=0.830  val_loss=3.1058 val_acc=0.542
[landmark_tcn] epoch 085/200  train_loss=0.4978 train_acc=0.848  val_loss=3.1942 val_acc=0.467
[landmark_tcn] epoch 086/200  train_loss=0.4860 train_acc=0.867  val_loss=3.0091 val_acc=0.514
[landmark_tcn] epoch 087/200  train_loss=0.4656 train_acc=0.874  val_loss=3.1806 val_acc=0.449
[landmark_tcn] epoch 088/200  train_loss=0.4540 train_acc=0.869  val_loss=3.1148 val_acc=0.523
[landmark_tcn] epoch 089/200  train_loss=0.4221 train_acc=0.867  val_loss=3.2756 val_acc=0.477
[landmark_tcn] epoch 090/200  train_loss=0.4126 train_acc=0.865  val_loss=3.1399 val_acc=0.458
[landmark_tcn] epoch 091/200  train_loss=0.4374 train_acc=0.844  val_loss=3.3208 val_acc=0.495
[landmark_tcn] epoch 092/200  train_loss=0.4787 train_acc=0.834  val_loss=3.2951 val_acc=0.486
[landmark_tcn] epoch 093/200  train_loss=0.4249 train_acc=0.883  val_loss=3.3693 val_acc=0.523
[landmark_tcn] epoch 094/200  train_loss=0.3768 train_acc=0.907  val_loss=3.0957 val_acc=0.514
[landmark_tcn] epoch 095/200  train_loss=0.3925 train_acc=0.883  val_loss=3.3248 val_acc=0.523
[landmark_tcn] epoch 096/200  train_loss=0.3947 train_acc=0.865  val_loss=3.3912 val_acc=0.495
[landmark_tcn] epoch 097/200  train_loss=0.3441 train_acc=0.916  val_loss=3.1672 val_acc=0.467
[landmark_tcn] epoch 098/200  train_loss=0.3599 train_acc=0.902  val_loss=3.3420 val_acc=0.477
[landmark_tcn] epoch 099/200  train_loss=0.3494 train_acc=0.895  val_loss=3.2925 val_acc=0.523
[landmark_tcn] epoch 100/200  train_loss=0.3526 train_acc=0.909  val_loss=3.5881 val_acc=0.486
[landmark_tcn] epoch 101/200  train_loss=0.3707 train_acc=0.883  val_loss=3.2047 val_acc=0.505
[landmark_tcn] epoch 102/200  train_loss=0.3289 train_acc=0.888  val_loss=3.4730 val_acc=0.495
[landmark_tcn] epoch 103/200  train_loss=0.3040 train_acc=0.925  val_loss=3.2766 val_acc=0.523
[landmark_tcn] epoch 104/200  train_loss=0.3046 train_acc=0.937  val_loss=3.3748 val_acc=0.598
[landmark_tcn] epoch 105/200  train_loss=0.3086 train_acc=0.923  val_loss=3.4260 val_acc=0.495
[landmark_tcn] epoch 106/200  train_loss=0.2668 train_acc=0.960  val_loss=3.2470 val_acc=0.514
[landmark_tcn] epoch 107/200  train_loss=0.2938 train_acc=0.907  val_loss=3.4443 val_acc=0.505
[landmark_tcn] epoch 108/200  train_loss=0.3098 train_acc=0.925  val_loss=3.2140 val_acc=0.523
[landmark_tcn] epoch 109/200  train_loss=0.3417 train_acc=0.914  val_loss=3.4163 val_acc=0.505
[landmark_tcn] epoch 110/200  train_loss=0.3085 train_acc=0.911  val_loss=3.4380 val_acc=0.505
